Elongation,UTS,Conductivity
16.0,21.0,61.0
10.5,20.0,61.5
9.2,17.5,61.3
11.8,19.0,61.6
8.7,22.0,61.1
10.1,23.5,61.4
9.8,18.2,61.2
11.5,21.7,61.5
8.9,20.3,61.6
10.0,19.9,61.4
9.3,23.1,61.7
11.0,16.8,61.3
16.0,21.0,61.0
16.0,21.0,61.0
16.0,21.0,61.0
16.0,21.0,61.0
16.0,21.0,61.0
9.8,18.2,61.2
11.0,17.0,61.5
12.0,112.0,61.0
11.0,12.0,61.0
11.0,12.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,112.0,61.0
12.0,10.0,11.0
19.0,10.0,12.0
19.0,10.0,12.0
19.0,10.0,12.0
12.0,13.0,16.0
12.0,13.0,16.0
