,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sl No,Cast Number,Posting Date,Grade,Wt(MT),%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,1,556575,01.03.2024,W000,12.395,0.06,0.16,0.002,0.01,0.001,0.005,0.02,99.742
,2,556577,01.03.2024,W000,39.599,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,3,556581,02.03.2024,W000,29.369,0.06,0.14,0.001,0.001,0.001,0.005,0.02,99.772
,4,556585,02.03.2024,W000,37.206,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,5,556589,02.03.2024,W000,12.509,0.06,0.16,0.001,0.003,0.001,0.005,0.02,99.75
,6,556593,03.03.2024,W000,31.408,0.06,0.14,0.001,0.003,0.001,0.005,0.02,99.77
,7,556597,03.03.2024,W000,33.775,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,8,556601,04.03.2024,W000,29.402,0.11,0.14,0.001,0.002,0.001,0.005,0.02,99.721
,9,556605,04.03.2024,W000,35.509,0.06,0.13,0.001,0.002,0.001,0.005,0.02,99.781
,10,556609,05.03.2024,W000,34.312,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,11,556615,05.03.2024,W000,28.627,0.06,0.14,0.002,0.005,0.001,0.004,0.02,99.768
,12,556619,06.03.2024,W000,19.14,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,13,556623,06.03.2024,W000,29.622,0.06,0.13,0.002,0.006,0.001,0.005,0.02,99.776
,14,556627,06.03.2024,W000,27.169,0.06,0.14,0.002,0.006,0.001,0.005,0.02,99.766
,15,556631,07.03.2024,W000,29.992,0.06,0.12,0.001,0.002,0.001,0.004,0.02,99.792
,16,556635,07.03.2024,W000,32.025,0.08,0.15,0.002,0.007,0.001,0.004,0.02,99.736
,17,556639,08.03.2024,W000,34.052,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,18,556643,08.03.2024,W000,38.316,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,19,556647,09.03.2024,W000,30.06,0.06,0.15,0.001,0.006,0.001,0.004,0.02,99.758
,20,556651,09.03.2024,W000,8.553,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,21,556653,09.03.2024,W000,27.068,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,22,556657,10.03.2024,W000,33.712,0.06,0.16,0.002,0.008,0.001,0.005,0.02,99.744
,23,556661,10.03.2024,W000,37.474,0.06,0.17,0.002,0.005,0.001,0.006,0.02,99.736
,24,556665,11.03.2024,W000,29.156,0.06,0.15,0.001,0.004,0.001,0.005,0.02,99.759
,25,556669,11.03.2024,W000,29.581,0.06,0.15,0.001,0.004,0.001,0.006,0.02,99.758
,26,556673,12.03.2024,W000,39.4,0.06,0.15,0.001,0.003,0.001,0.005,0.02,99.76
,27,556677,12.03.2024,W000,31.187,0.06,0.14,0.002,0.006,0.001,0.005,0.02,99.766
,28,556681,12.03.2024,W000,18.526,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,29,556685,13.03.2024,W000,36.777,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,30,556689,13.03.2024,W000,19.064,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,31,556693,14.03.2024,W000,16.364,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,32,556697,15.03.2024,W000,32.243,0.06,0.16,0.001,0.003,0.001,0.005,0.02,99.75
,33,556701,15.03.2024,W000,12.101,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,34,556703,15.03.2024,W000,19.172,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,35,556707,16.03.2024,W000,28.132,0.06,0.17,0.001,0.002,0.001,0.005,0.02,99.741
,36,556711,16.03.2024,W000,30.87,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,37,556715,17.03.2024,W000,30.916,0.06,0.15,0.001,0.003,0.001,0.005,0.02,99.76
,38,556719,17.03.2024,W000,32.609,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,39,556723,18.03.2024,W000,34.701,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,40,556727,18.03.2024,W000,8.005,0.06,0.19,0.001,0.005,0.001,0.005,0.02,99.718
,41,556729,19.03.2024,W000,28.221,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,42,556733,19.03.2024,W000,29.028,0.06,0.15,0.001,0.001,0.001,0.005,0.02,99.762
,43,556737,20.03.2024,W000,37.361,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,44,556741,20.03.2024,W000,30.925,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,45,556745,21.03.2024,W000,31.297,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,46,556749,21.03.2024,W000,26.448,0.06,0.15,0.001,0.003,0.001,0.005,0.02,99.76
,47,556753,22.03.2024,W000,31.089,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,48,556757,22.03.2024,W000,32.71,0.06,0.15,0.002,0.008,0.001,0.005,0.02,99.754
,49,556761,22.03.2024,W000,4.007,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,50,556765,23.03.2024,W000,23.388,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,51,556769,24.03.2024,W000,8.287,0.05,0.16,0.002,0.012,0.001,0.005,0.02,99.75
,52,556773,24.03.2024,W000,29.03,0.06,0.13,0.001,0.004,0.001,0.005,0.02,99.779
,53,556777,24.03.2024,W000,33.132,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,54,556781,25.03.2024,W000,32.406,0.06,0.16,0.001,0.005,0.001,0.005,0.02,99.748
,55,556785,25.03.2024,W000,37.152,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,56,556789,25.03.2024,W000,4.139,0.06,0.14,0.001,0.003,0.001,0.005,0.02,99.77
